stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,accessible,elevator,escalator,line_name,line_number,position_in_line,station_name,transport_name
est_4_263,263,PINAR DE CHAMARTIN,,40.48014,-3.6668,A,http://www.crtm.es,1,,Europe/Madrid,2,True,True,True, Pinar de Chamartin-Valdecarros,1,1,Pinar de Chamartin,METRO
est_4_7,7,RIOS ROSAS,,40.44198,-3.70133,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,False, Pinar de Chamartin-Valdecarros,1,10,Rios Rosas,METRO
est_4_8,8,IGLESIA,,40.43492,-3.69898,A,http://www.crtm.es,1,,Europe/Madrid,2,True,True,False, Pinar de Chamartin-Valdecarros,1,11,Iglesia,METRO
est_4_13,13,TIRSO DE MOLINA,,40.41235,-3.70466,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,False, Pinar de Chamartin-Valdecarros,1,16,Tirso de Molina,METRO
est_4_14,14,ANTON MARTIN,,40.41246,-3.69937,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,False, Pinar de Chamartin-Valdecarros,1,17,Anton Martin,METRO
est_4_15,15,ESTACION DEL ARTE,,40.40885,-3.69249,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,False, Pinar de Chamartin-Valdecarros,1,18,Estacion del Arte,METRO
est_4_262,262,BAMBU,,40.47682,-3.67637,A,http://www.crtm.es,1,,Europe/Madrid,2,True,True,True, Pinar de Chamartin-Valdecarros,1,2,Bambu,METRO
est_4_17,17,MENENDEZ PELAYO,,40.40445,-3.68098,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,False, Pinar de Chamartin-Valdecarros,1,20,Menendez Pelayo,METRO
est_4_19,19,PUENTE DE VALLECAS,,40.39819,-3.66906,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,False, Pinar de Chamartin-Valdecarros,1,22,Puente de Vallecas,METRO
est_4_20,20,NUEVA NUMANCIA,,40.39554,-3.66414,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,True, Pinar de Chamartin-Valdecarros,1,23,Nueva Numancia,METRO
est_4_21,21,PORTAZGO,,40.39266,-3.65868,A,http://www.crtm.es,1,,Europe/Madrid,0,False,False,True, Pinar de Chamartin-Valdecarros,1,24,Portazgo,METRO
