accessible,elevator,escalator,line_name,line_number,position_in_line,station_name,transport_name
True,True,True, Pinar de Chamartín-Valdecarros,1,33,Valdecarros,METRO
True,True,True, Pinar de Chamartín-Valdecarros,1,31,La Gavia,METRO
True,True,True, Pinar de Chamartín-Valdecarros,1,32,Las Suertes,METRO
True,True,True, Pinar de Chamartín-Valdecarros,1,28, Sierra de Guadalupe,METRO
True,True,True, Nuevos Ministerios-Aeropuerto T4,8,6,Aeropuerto T1-T2-T3,METRO
True,True,True, Pinar de Chamartín-Valdecarros,1,29,Villa de Vallecas,METRO
True,True,True, Pinar de Chamartín-Valdecarros,1,30,Congosto,METRO
True,True,True, Hospital Infanta Sofía-Puerta del Sur,10,3,Baunatal,METRO
True,True,True, Las Rosas-Cuatro Caminos,2,14,Ópera,METRO
False,False,False, Las Rosas-Cuatro Caminos,2,18,Quevedo,METRO
True,True,True, Las Rosas-Cuatro Caminos,2,20,Cuatro Caminos,METRO
True,True,True, Las Rosas-Cuatro Caminos,2,19,Canal,METRO
True,True,True, Circular,6,11,Conde de Casal,METRO
False,False,True, Circular,6,15,Diego de León,METRO
False,False,True, Circular,6,14,Manuel Becerra,METRO
True,False,False, Pinar de Chamartín-Las Tablas,1,5,Álvarez de Villaamil,METRO LIGERO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,16,Puerta de Boadilla,METRO LIGERO
False,False,False, Tranvia de Parla (Línea Circular),4,19,Venus Sur (vuelta),METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,14,Parque Parla Este,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,13,Isabel II,METRO LIGERO
False,False,False, Tranvia de Parla (Línea Circular),4,18,Venus Norte (ida),METRO LIGERO
True,True,True, Alameda de Osuna-Casa de Campo,5,32, Casa de Campo,METRO
False,False,False, Tranvia de Parla (Línea Circular),4,17,Tierra Sur (vuelta),METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,15,Avenida Sistema Solar,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,16,Tierra Norte (ida),METRO LIGERO
False,False,False, Alameda de Osuna-Casa de Campo,5,31,Campamento,METRO
True,False,False, Alameda de Osuna-Casa de Campo,5,30,Empalme,METRO
True,True,True, Alameda de Osuna-Casa de Campo,5,29,Aluche,METRO
True,True,True, Alameda de Osuna-Casa de Campo,5,28, Eugenia de Montijo,METRO
True,False,False, Tranvia de Parla (Línea Circular),4,12,Reyes Católicos,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,11,Bulevar Sur,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,10,Iglesia Centro,METRO LIGERO
False,False,False, Alameda de Osuna-Casa de Campo,5,27,Carabanchel,METRO
False,False,False, Alameda de Osuna-Casa de Campo,5,26,Vista Alegre,METRO
False,False,True, Alameda de Osuna-Casa de Campo,5,25,Oporto,METRO
False,False,False, Alameda de Osuna-Casa de Campo,5,24,Urgel,METRO
True,True,True, MetroSur,12,28,San Nicasio,METRO
True,False,False, Tranvia de Parla (Línea Circular),4,8,La Ballena,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,7,Julio Romero de Torres,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,9,Parla Centro - Bulevar Norte,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,6,Plaza de Toros,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,5,Polígono Industrial Ciudad de Parla,METRO LIGERO
False,False,False, Alameda de Osuna-Casa de Campo,5,23,Marqués de Vadillo,METRO
True,True,True, Alameda de Osuna-Casa de Campo,5,22, Pirámides,METRO
False,False,False, Alameda de Osuna-Casa de Campo,5,21,Acacias,METRO
True,True,True, MetroSur,12,27,Leganés Central,METRO
False,False,False, Alameda de Osuna-Casa de Campo,5,20,Puerta de Toledo,METRO
True,True,True, MetroSur,12,25,Casa del Reloj,METRO
True,True,True, MetroSur,12,26,Hospital Severo Ochoa,METRO
True,True,True, MetroSur,12,24,Julian Besteiro,METRO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,15,Infante Don Luis,METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,3,Jaime I Norte (ida),METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,2,Estrella Polar Sur (vuelta),METRO LIGERO
True,False,False, Tranvia de Parla (Línea Circular),4,1,Estrella Polar Norte (ida),METRO LIGERO
False,False,True, Alameda de Osuna-Casa de Campo,5,19,La Latina,METRO
True,True,True, Alameda de Osuna-Casa de Campo,5,17,Callao,METRO
True,True,True, Alameda de Osuna-Casa de Campo,5,18,Ópera,METRO
False,False,True, Alameda de Osuna-Casa de Campo,5,16,Gran Vía,METRO
True,False,False, Tranvia de Parla (Línea Circular),4,4,Jaime I Sur (vuelta),METRO LIGERO
True,True,True, MetroSur,12,23,El Carrascal,METRO
True,True,True, MetroSur,12,22,El Bercial,METRO
True,True,True, MetroSur,12,21,Los Espartales,METRO
True,True,True, MetroSur,12,20,El Casar,METRO
True,False,False, Colonia Jardín-Estación de Aravaca,2,12,Berna,METRO LIGERO
True,False,False, Colonia Jardín-Estación de Aravaca,2,13,Estación de Aravaca,METRO LIGERO
True,True,True, Colonia Jardín-Estación de Aravaca,2,11,Avenida de Europa,METRO LIGERO
True,False,False, Colonia Jardín-Estación de Aravaca,2,10,Campus de Somosaguas,METRO LIGERO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,14,Siglo XXI,METRO LIGERO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,13,Nuevo Mundo,METRO LIGERO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,12,Boadilla Centro,METRO LIGERO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,11,Ferial de Boadilla,METRO LIGERO
True,False,False, Colonia Jardín-Puerta de Boadilla,3,10,Cantabria,METRO LIGERO
False,False,True, Alameda de Osuna-Casa de Campo,5,15,Chueca,METRO
False,False,True, Alameda de Osuna-Casa de Campo,5,14,Alonso Martínez,METRO
False,False,False, Alameda de Osuna-Casa de Campo,5,13,Rubén Darío,METRO
